Week,Day,Date,Topic,"Notes or Lab",Supplemental,Homework,Reading
1,2,2024/01/08,Introduction,"Welcome and Introduction",,"Install R and Rstudio",
1,3,2024/01/09,"Review of Key Concepts","Chap 2",,,
1,5,2024/01/11,"Simple Linear Regression","Chap 3 ","Matrix Algebra Review",,"RMB 3.3"
2,2,2024/01/15,"Martin Luther King, Jr Holiday","no class",,,
2,3,2024/01/16,"Simple Linear Regression","Chap 3 / Lab1",,"HW 1",
2,5,2024/01/18,"Simple Linear Regression","Chap 3 ","Log Transformations",,"RMB 3.2"
3,2,2024/01/22,"Linear regression model assumptions","Lab 2",,,
3,3,2024/01/23,"Finish simple linear regression","Chap 3",,"HW2; HW 1 Due",
3,5,2024/01/25,"Simple Logistic Regression","Chap 4",,,
4,2,2024/01/29,"Logistic Regression Lab","Lab 3",,,
4,3,2024/01/30,"Simple Logistic Regression","Chap 4",,"HW3; HW 2 Due","RMB 3.4, 6.1"
4,5,2024/02/01,Precision,"Chap 5",,,
5,2,2024/02/05,"Precision and adjustment for baseline","Lab 4",,,
5,3,2024/02/06,"Confounding and Effect Modification","Chap 6",,"HW4; HW 3 Due","RMB 5.1"
5,5,2024/02/08,"Multivariable Models","Chap 6",,,
6,2,2024/02/12,"   Lab",,,,
6,3,2024/02/13,"Multivariable Models","Chap 7",,"HW 4 due",
6,5,2024/02/15,"Time to event models","Chap 7",,,
7,2,2024/02/19,Review,,,,
7,3,2024/02/20,"Midterm Exam (in class)",,,Exam,
7,5,2024/02/22,"Linear model estimation",,,,
8,2,2024/02/26,"  Lab",,,,
8,3,2024/02/27,"Linear model estimation",,,,
8,5,2024/02/29,"Modeling effect modificiaton",,,,
9,2,2024/03/04,"   Lab",,,,
9,3,2024/03/05,"Modeling effect modificiaton",,,,
9,5,2024/03/07,"Regression models for nominal, ordinal, and count outcomes",,,,
10,2,2024/03/11,"Spring Break",,,,
10,3,2024/03/12,"Spring Break",,,,
10,5,2024/03/14,"Spring Break",,,,
11,2,2024/03/18,"  Lab",,,,
11,3,2024/03/19,"ANOVA and Model Choice",,,,
11,5,2024/03/21,"ANOVA and Model Choice",,,,
12,2,2024/03/25,"   No Lab",,,"Take Home Exam",
12,3,2024/03/26,"Regression Based Prediction",,,,
12,5,2024/03/28,"Regression Based Prediction",,,,
13,2,2024/04/01,"  Lab",,,,
13,3,2024/04/02,"Correlated data",,,,
13,5,2024/04/04,"Correlated data",,,,
14,2,2024/04/08,"  Lab",,,,
14,3,2024/04/09,"Missing data",,,,
14,5,2024/04/11,"Flexible models for dose-response",,,,
15,2,2024/04/15,"  Lab",,,,
15,3,2024/04/16,Review,,,,
15,5,2024/04/18,"Final Exam (in class)",,,Exam,
16,2,2024/04/22,"Go over final exam",,,,
