Week,Day,Date,Topic,Notes or Lab,Supplemental,Homework,Reading
1,2,1/5/2026,Introduction,Welcome and Introduction,,Install R and Rstudio,
1,3,1/6/2026,Review of Key Concepts,Lec 2; Quarto Intro,,,
1,5,1/8/2026,Simple Linear Regression,Lec 3,,,RMB 3.3
2,2,1/12/2026,Simple Linear Regression,"Lab 1, Lec 3",,,
2,3,1/13/2026,Lab: Linear Regression,"Lab 1, Lec 3",Matrix Algebra Review,HW 1 assigned,
2,5,1/15/2026,Simple Linear Regression,"Lec 3, Lab 1",Log Transformations,,RMB 3.2
3,2,1/19/2026,"No class (MLK, Jr. Holiday)",,,,
3,3,1/20/2026,Lab: Linear Regression model assumptions,Lab 2,,,
3,5,1/22/2026,Logistic Regression,Lec 4,,HW 1 due; HW 2 assigned,
4,2,1/26/2026,Logistic Regression,Lec 4,,,
4,3,1/27/2026,Logistic Regression Lab,Lab 3,,,RMB 3.4; 6.1
4,5,1/29/2026,Precision,,,HW 3 assigned,
5,2,2/2/2026,Lab: Logistic Regression,Lab 3,,,
5,3,2/3/2026,Precison,Lec 5.1 5.2/Lab 4,,HW 2 due,RMB 5.1
5,5,2/5/2026,Confounding and Effect Modification,Lec 6,,,
6,2,2/9/2026,Lab: Multivariable models,Lab 4,,,
6,3,2/10/2026,Multivariable Models,Lec 7,,,
6,5,2/12/2026,Multivariable Models,Lec 7,,HW 3 due; HW4 assigned,
7,2,2/16/2026,Frequentist Estimation and Bayesian Inference,,,,
7,3,2/17/2026,Frequentist Estimation and Bayesian Inference,,,,
7,5,2/19/2026,Weighted regression,"Mini Lab, weighted Regression",,HW 4 due,
8,2,2/23/2026,  Review,,,,
8,3,2/24/2026,Midterm Exam,,,In class exam,
8,5,2/26/2026,Time to event models,,,,RMB: 3.5; 7.1; 7.2.1-7.2.7
9,2,3/2/2026,   Lab: Go over midterm exam,,,,
9,3,3/3/2026,Time to event models,,,,
9,5,3/5/2026,Lab: Time to event,Lab 6,,,
10,2,3/9/2026,Spring Break,,,,
10,3,3/10/2026,Spring Break,,,,
10,5,3/12/2026,Spring Break,,,,
11,2,3/16/2026,Poisson Regression,,,,
11,3,3/17/2026,Modeling effect Modification,,,,
11,5,3/19/2026,Modeling effect Modification,,,HW 5 due,
12,2,3/23/2026,   No Lab (Take home exam),,,Take Home Exam,
12,3,3/24/2026,Lab: Poisson Models and Effect Modfiction,,,HW 6,
12,5,3/26/2026,Multinomial and Ordinal Regression,,,,
13,2,3/30/2026,Lab: Discrete Outcome Regression,,,,
13,3,3/31/2026,Flexible Modeling of Dose Reponse,,,,
13,5,4/2/2026,Flexible Modeling of Dose Reponse,,,HW 6 due,
14,2,4/6/2026,ANOVA Model Choice,,,HW 7,
14,3,4/7/2026,Bayesian Model Diagnostics,,,,
14,5,4/9/2026,Regression based prediction,,,,
15,2,4/13/2026,Bootstrap,,,,
15,3,4/14/2026,Missing data,,,HW 7 due,
15,5,4/16/2026,,,,,
16,2,4/20/2026,Review/Answer questions,,,,
16,3,4/21/2026,Final Exam,,,In class exem
17,2,4/27/2026,Return and review exam (optional),,,,
